Kelurahan,count
Klojen,45
Blimbing,44
Lowokwaru,33
Kauman,10
Kedungkandang,10
Sukun,9
Jatimulyo,7
Karangbesuki,6
Dinoyo,4
Kiduldalem,4
Gadang,3
Kasin,3
Bareng,3
Ciptomulyo,2
Bakalankrajan,1
Arjosari,1
Bandulan,1
Jodipan,1
Sawojajar,1
Buring,1
Balearjosari,1
Sumbersari,1
Mulyorejo,1
