Kelurahan,Success_rate
Jatimulyo,3976.65
Sawojajar,3071.2
Kasin,2782.0
Klojen,2393.93
Kiduldalem,2348.7
Sukun,2208.8
Blimbing,1954.22
Kauman,1862.38
Bareng,1448.25
Lowokwaru,1424.64
Kedungkandang,1040.8
Buring,817.8
Karangbesuki,648.35
Bumiayu,566.3
Dinoyo,516.65
Purwantoro,474.75
Kebonsari,386.8
Bandungrejosari,286.8
Ketawanggede,282.32
Arjosari,203.8
Samaan,107.5
Cemorokandang,31.2
Ciptomulyo,23.8
Gadang,7.05
Balearjosari,6.95
Mojolangu,5.0
Rampal Celaket,3.65
Kotalama,3.5
Mulyorejo,3.0
